unique_key,timestamp,primary_type,category,longitude,latitude
20142651156,2014-09-22 12:00:00.000000 UTC,Rape,RAPE,-97.737978,30.292467
20142571333,2014-09-14 12:00:00.000000 UTC,Rape,RAPE,-97.737978,30.292467
20142490144,2014-09-06 12:00:00.000000 UTC,Rape,RAPE,-97.737978,30.292467
20141051975,2014-04-15 12:00:00.000000 UTC,Rape,RAPE,-97.737978,30.292467
2014251140,2014-01-25 12:00:00.000000 UTC,Rape,RAPE,-97.737978,30.292467
201410646,2014-01-01 12:00:00.000000 UTC,Rape,RAPE,-97.737978,30.292467
20143260409,2014-11-22 12:00:00.000000 UTC,Rape,RAPE,-97.737978,30.292467
20145028989,2014-07-01 12:00:00.000000 UTC,Rape,AGG RAPE OF A CHILD,-97.737978,30.292467
20152322246,2015-08-21 12:00:00.000000 UTC,Agg Assault,AGG ASSAULT,,
2014180306,2014-01-18 12:00:00.000000 UTC,Aggravated Assault,AGG ASSAULT,,
20163630967,2016-12-28 12:00:00.000000 UTC,Agg Assault,AGG ASSAULT WITH MOTOR VEH,,
20141630640,2014-06-12 12:00:00.000000 UTC,Aggravated Assault,AGG ASLT STRANGLE/SUFFOCATE,-97.743491,30.290591
20142950132,2014-10-22 12:00:00.000000 UTC,Aggravated Assault,AGG ASLT STRANGLE/SUFFOCATE,-97.748149,30.290935
20141081013,2014-04-18 12:00:00.000000 UTC,Aggravated Assault,DEADLY CONDUCT,-97.750834,30.288396
20141120016,2014-04-22 12:00:00.000000 UTC,Aggravated Assault,AGG ASSAULT,-97.74152,30.292831
20142280208,2014-08-16 12:00:00.000000 UTC,Aggravated Assault,AGG ASSAULT FAM/DATE VIOLENCE,-97.744011,30.294744
2015981072,2015-04-08 12:00:00.000000 UTC,Rape,RAPE,,
20151811300,2015-06-30 12:00:00.000000 UTC,Rape,AGG RAPE OF A CHILD,,
20153111912,2015-11-07 12:00:00.000000 UTC,Rape,RAPE,,
20161800193,2016-06-28 12:00:00.000000 UTC,Rape,FORCED SODOMY,,
20163190849,2016-11-14 12:00:00.000000 UTC,Rape,RAPE OF A CHILD,,
20161171340,2016-04-26 12:00:00.000000 UTC,Agg Assault,AGG ASLT STRANGLE/SUFFOCATE,,
20162931594,2016-10-19 12:00:00.000000 UTC,Agg Assault,AGG ASLT STRANGLE/SUFFOCATE,,
20152760225,2015-10-03 12:00:00.000000 UTC,Agg Assault,AGG ASSAULT,,
2015390889,2015-02-08 12:00:00.000000 UTC,Agg Assault,AGG ASLT STRANGLE/SUFFOCATE,,
2015781900,2015-03-19 12:00:00.000000 UTC,Agg Assault,AGG ASSAULT FAM/DATE VIOLENCE,,
20161721858,2016-06-20 12:00:00.000000 UTC,Agg Assault,AGG ASLT STRANGLE/SUFFOCATE,,
20162370352,2016-08-24 12:00:00.000000 UTC,Agg Assault,DEADLY CONDUCT,,
20162470567,2016-09-03 12:00:00.000000 UTC,Agg Assault,DEADLY CONDUCT,,
20151560122,2015-06-05 12:00:00.000000 UTC,Agg Assault,AGG ASSAULT,,
20153030037,2015-10-30 12:00:00.000000 UTC,Agg Assault,AGG ASSAULT,,
2016721439,2016-03-12 12:00:00.000000 UTC,Agg Assault,AGG ASSAULT,,
20162800027,2016-10-06 12:00:00.000000 UTC,Agg Assault,AGG ASLT STRANGLE/SUFFOCATE,,
201630497,2016-01-03 12:00:00.000000 UTC,Agg Assault,AGG ASLT STRANGLE/SUFFOCATE,,
20152630540,2015-09-20 12:00:00.000000 UTC,Agg Assault,AGG ASLT STRANGLE/SUFFOCATE,,
2015841034,2015-03-25 12:00:00.000000 UTC,Agg Assault,AGG ASSAULT WITH MOTOR VEH,,
20161041832,2016-04-14 12:00:00.000000 UTC,Agg Assault,AGG ASSAULT,,
2016331608,2016-02-02 12:00:00.000000 UTC,Agg Assault,AGG ASLT STRANGLE/SUFFOCATE,,
20153551378,2015-12-14 12:00:00.000000 UTC,Agg Assault,AGG ASSAULT,,
2014190988,2014-01-19 12:00:00.000000 UTC,Rape,RAPE,-97.798214,30.206782
20153151923,2015-11-12 12:00:00.000000 UTC,Agg Assault,AGG ASLT W/MOTOR VEH FAM/DAT V,,
20151690465,2015-06-18 12:00:00.000000 UTC,Agg Assault,AGG ASSAULT,,
20143440760,2014-12-10 12:00:00.000000 UTC,Aggravated Assault,AGG ASSAULT,,
20152880025,2015-10-15 12:00:00.000000 UTC,Agg Assault,AGG ASSAULT,,
2014251797,2014-01-26 12:00:00.000000 UTC,Aggravated Assault,AGG ASLT STRANGLE/SUFFOCATE,-97.803186,30.224024
20142121679,2014-07-31 12:00:00.000000 UTC,Aggravated Assault,AGG ASLT STRANGLE/SUFFOCATE,-97.804065,30.224465
20143250939,2014-11-21 12:00:00.000000 UTC,Aggravated Assault,AGG ASLT STRANGLE/SUFFOCATE,-97.796437,30.216941
20143250688,2014-11-21 12:00:00.000000 UTC,Aggravated Assault,AGG ASLT ENHANC STRANGL/SUFFOC,-97.796437,30.216941
20143250957,2014-11-21 12:00:00.000000 UTC,Aggravated Assault,AGG ASLT STRANGLE/SUFFOCATE,-97.796437,30.216941
2014531111,2014-02-22 12:00:00.000000 UTC,Aggravated Assault,AGG ASSAULT,-97.796622,30.216663
2014190817,2014-01-19 12:00:00.000000 UTC,Aggravated Assault,AGG ASLT STRANGLE/SUFFOCATE,-97.796622,30.216663
20141751781,2014-06-24 12:00:00.000000 UTC,Aggravated Assault,AGG ASLT STRANGLE/SUFFOCATE,-97.803657,30.219515
2014592048,2014-02-28 12:00:00.000000 UTC,Aggravated Assault,AGG ASLT STRANGLE/SUFFOCATE,-97.793537,30.214738
20141100735,2014-04-20 12:00:00.000000 UTC,Aggravated Assault,AGG ASSAULT,-97.793992,30.214185
2014480355,2014-02-17 12:00:00.000000 UTC,Aggravated Assault,AGG ASLT ENHANC STRANGL/SUFFOC,-97.793992,30.214185
20142590812,2014-09-16 12:00:00.000000 UTC,Aggravated Assault,DEADLY CONDUCT,-97.799087,30.232244
20142491688,2014-09-06 12:00:00.000000 UTC,Aggravated Assault,AGG ASSAULT,-97.792814,30.231681
2015641189,2015-03-03 12:00:00.000000 UTC,Rape,RAPE,,
201531798,2015-01-04 12:00:00.000000 UTC,Rape,AGG RAPE OF A CHILD,,
2015320647,2015-02-01 12:00:00.000000 UTC,Rape,RAPE,,
20151261586,2015-05-06 12:00:00.000000 UTC,Rape,RAPE,,
2015450543,2015-02-14 12:00:00.000000 UTC,Rape,RAPE,,
2015991238,2015-04-09 12:00:00.000000 UTC,Rape,AGG RAPE OF A CHILD,,
20151230710,2015-05-03 12:00:00.000000 UTC,Rape,RAPE,,
20151810883,2015-06-30 12:00:00.000000 UTC,Rape,RAPE OF A CHILD,,
20152560502,2015-09-13 12:00:00.000000 UTC,Rape,RAPE,,
20153581240,2015-12-24 12:00:00.000000 UTC,Rape,RAPE,,
201660818,2016-01-06 12:00:00.000000 UTC,Rape,RAPE,,
201661300,2016-01-06 12:00:00.000000 UTC,Rape,RAPE,,
2016250725,2016-01-25 12:00:00.000000 UTC,Rape,SEXUAL ASSAULT OF CHILD/OBJECT,,
2016310223,2016-01-31 12:00:00.000000 UTC,Rape,RAPE,,
20165006712,2016-02-16 12:00:00.000000 UTC,Rape,AGG SEXUAL ASSAULT CHILD/OBJEC,,
20165019513,2016-05-11 12:00:00.000000 UTC,Rape,AGG RAPE OF A CHILD,,
20161570869,2016-06-05 12:00:00.000000 UTC,Rape,RAPE,,
20161870209,2016-07-05 12:00:00.000000 UTC,Rape,AGG RAPE OF A CHILD,,
20162040021,2016-07-22 12:00:00.000000 UTC,Rape,RAPE,,
20162280639,2016-08-15 12:00:00.000000 UTC,Rape,RAPE OF A CHILD,,
20165033765,2016-08-16 12:00:00.000000 UTC,Rape,SEXUAL ASSAULT OF CHILD/OBJECT,,
20162400084,2016-08-27 12:00:00.000000 UTC,Rape,FORCED SODOMY,,
